,总量,,,中餐厅,,,外国餐厅,,,快餐厅,,城市,甜品饮品店
拉萨市,5411,,普洱市,3615,,凉山彝族自治州,68,,乌兰察布市,852,,保山市,445
咸宁市,5408,,湘西土家族苗族自治州,3610,,晋城市,66,,凉山彝族自治州,852,,景德镇市,442
云浮市,5291,,乌兰察布市,3607,,忻州市,66,,安康市,839,,武威市,432
铁岭市,5198,,黄山市,3532,,崇左市,62,,广元市,838,,淮北市,429
钦州市,5029,,白城市,3517,,巴彦淖尔市,61,,白城市,830,,安顺市,427
普洱市,4929,,云浮市,3494,,兴安盟,61,,辽阳市,824,,忻州市,426
乌兰察布市,4865,,铁岭市,3475,,娄底市,61,,天水市,816,,鄂尔多斯市,423
白城市,4835,,拉萨市,3458,,黔西南布依族苗族自治州,61,,普洱市,806,,攀枝花市,422
湘西土家族苗族自治州,4800,,梧州市,3430,,铜仁市,60,,景德镇市,802,,通辽市,420
黄山市,4787,,景德镇市,3426,,西双版纳傣族自治州,60,,黔西南布依族苗族自治州,798,,巴彦淖尔市,416
资阳市,4785,,庆阳市,3350,,德宏傣族景颇族自治州,60,,本溪市,795,,十堰市,407
景德镇市,4760,,保山市,3318,,内江市,59,,云浮市,795,,白城市,399
西双版纳傣族自治州,4618,,西双版纳傣族自治州,3316,,安顺市,59,,舟山市,787,,朝阳市,395
巴中市,4599,,伊犁哈萨克自治州,3295,,双鸭山市,58,,昌吉回族自治州,775,,舟山市,391
伊犁哈萨克自治州,4586,,昌吉回族自治州,3270,,巴音郭楞蒙古自治州,58,,鸡西市,760,,葫芦岛市,388
阜新市,4507,,鸡西市,3210,,萍乡市,57,,文山壮族苗族自治州,748,,通化市,388
天水市,4489,,巴中市,3193,,辽源市,56,,锡林郭勒盟,745,,铁岭市,386
保山市,4485,,阜新市,3192,,文山壮族苗族自治州,56,,崇左市,742,,防城港市,384
雅安市,4393,,雅安市,3183,,拉萨市,56,,巴中市,727,,新余市,374
昌吉回族自治州,4317,,定西市,3175,,广安市,55,,贺州市,726,,盘锦市,369
鸡西市,4274,,天水市,3125,,六盘水市,55,,黑河市,721,,乌兰察布市,361
庆阳市,4235,,池州市,3100,,伊犁哈萨克自治州,55,,鹤壁市,720,,抚顺市,352
锡林郭勒盟,4226,,酒泉市,3091,,鹤壁市,54,,楚雄彝族自治州,712,,随州市,352
萍乡市,4162,,资阳市,3084,,湘西土家族苗族自治州,53,,朔州市,709,,琼海市,351
安康市,4114,,锡林郭勒盟,3068,,防城港市,53,,自贡市,701,,伊犁哈萨克自治州,349
舟山市,4064,,平凉市,3013,,贺州市,53,,资阳市,693,,黄山市,347
定西市,4044,,钦州市,2993,,雅安市,53,,铜陵市,691,,德宏傣族景颇族自治州,344
辽阳市,4029,,安康市,2977,,喀什地区,51,,来宾市,689,,松原市,343
酒泉市,3991,,萍乡市,2970,,伊春市,50,,保山市,674,,阜新市,342
本溪市,3977,,德宏傣族景颇族自治州,2895,,七台河市,49,,白山市,663,,辽阳市,342
池州市,3943,,吴忠市,2873,,攀枝花市,49,,六盘水市,654,,锡林郭勒盟,334
鹤壁市,3915,,随州市,2862,,自贡市,48,,湘西土家族苗族自治州,643,,酒泉市,332
德宏傣族景颇族自治州,3841,,鹤壁市,2843,,广元市,48,,阿克苏地区,634,,阿坝藏族羌族自治州,330
黑河市,3832,,舟山市,2793,,保山市,48,,兴安盟,630,,延安市,326
平凉市,3800,,黑河市,2783,,昌吉回族自治州,48,,拉萨市,628,,澄迈县,320
随州市,3765,,本溪市,2774,,阳泉市,47,,萍乡市,625,,陇南市,315
朔州市,3758,,辽阳市,2743,,巴中市,47,,西双版纳傣族自治州,619,,定西市,314
贺州市,3742,,朔州市,2710,,铜陵市,46,,双鸭山市,613,,朔州市,310
吴忠市,3680,,张家界市,2692,,乌兰察布市,45,,雅安市,608,,临沧市,305
白山市,3596,,双鸭山市,2637,,新余市,45,,喀什地区,580,,张家界市,300
张家界市,3581,,白山市,2606,,延安市,45,,池州市,577,,鹤壁市,298
崇左市,3565,,伊春市,2586,,黄山市,43,,庆阳市,573,,本溪市,296
双鸭山市,3510,,新余市,2581,,昭通市,43,,阳泉市,568,,张掖市,294
巴音郭楞蒙古自治州,3491,,白银市,2578,,天水市,43,,辽源市,547,,庆阳市,286
铜陵市,3488,,铜陵市,2484,,鹤岗市,42,,吴忠市,546,,白银市,285
新余市,3477,,贺州市,2479,,池州市,39,,德宏傣族景颇族自治州,542,,文昌市,277
白银市,3432,,巴音郭楞蒙古自治州,2347,,随州市,39,,酒泉市,533,,鹰潭市,274
来宾市,3348,,石嘴山市,2338,,白银市,37,,白银市,532,,晋城市,273
伊春市,3296,,张掖市,2268,,鹰潭市,36,,定西市,530,,安康市,268
武威市,3156,,武威市,2226,,来宾市,35,,张掖市,516,,铜陵市,267
兴安盟,3120,,兴安盟,2225,,琼海市,35,,随州市,512,,万宁市,260
张掖市,3099,,陇南市,2203,,资阳市,35,,张家界市,505,,黑河市,259
石嘴山市,3037,,崇左市,2192,,普洱市,35,,防城港市,505,,平凉市,255
阳泉市,2979,,阳泉市,2185,,酒泉市,35,,平凉市,505,,儋州市,252
陇南市,2930,,临夏回族自治州,2142,,仙桃市,34,,七台河市,495,,伊春市,247
防城港市,2893,,鹤岗市,2132,,阿克苏地区,34,,石嘴山市,493,,白山市,236
攀枝花市,2860,,临沧市,2065,,楚雄彝族自治州,32,,济源市,483,,吴忠市,230
鹤岗市,2821,,阿坝藏族羌族自治州,2057,,吴忠市,31,,武威市,483,,鸡西市,228
临沧市,2769,,攀枝花市,2028,,安康市,30,,商洛市,479,,池州市,227
阿克苏地区,2763,,商洛市,1999,,克拉玛依市,30,,新余市,477,,昌吉回族自治州,224
辽源市,2737,,来宾市,1980,,朔州市,29,,鄂州市,473,,济源市,221
商洛市,2699,,辽源市,1954,,济源市,29,,塔城地区,459,,鄂州市,215
阿坝藏族羌族自治州,2662,,防城港市,1951,,乌海市,28,,鹤岗市,444,,商洛市,209
鄂州市,2651,,鄂州市,1936,,潜江市,28,,伊春市,413,,巴音郭楞蒙古自治州,207
济源市,2640,,阿克苏地区,1909,,临沧市,28,,克拉玛依市,409,,喀什地区,207
喀什地区,2629,,济源市,1907,,鄂州市,27,,乌海市,406,,兴安盟,204
临夏回族自治州,2617,,仙桃市,1843,,平凉市,27,,石河子市,400,,鹤岗市,203
鹰潭市,2517,,鹰潭市,1821,,庆阳市,26,,铜川市,398,,双鸭山市,202
仙桃市,2434,,中卫市,1801,,石河子市,26,,陇南市,396,,仙桃市,197
